Sr. No.,Registration No,Type,Date Of Event,Gender
1,2018B0000467,Birth,01/01/2018,Male
2,2018B0000469,Birth,01/01/2018,Female
3,2018B0000470,Birth,01/01/2018,Female
4,2018B0000471,Birth,01/01/2018,Male
5,2018B0000474,Birth,01/01/2018,Male
6,2018B0000475,Birth,01/01/2018,Female
7,2018B0000501,Birth,01/01/2018,Female
8,2018B0000503,Birth,01/01/2018,Female
9,2018B0000526,Birth,01/01/2018,Male
10,2018B0000527,Birth,01/01/2018,Female
11,2018B0000530,Birth,01/01/2018,Male
12,2018B0000541,Birth,01/01/2018,Male
13,2018B0000557,Birth,01/01/2018,Male
14,2018B0000558,Birth,01/01/2018,Female
15,2018B0000582,Birth,01/01/2018,Male
16,2018B0000586,Birth,01/01/2018,Female
17,2018B0000591,Birth,01/01/2018,Female
18,2018B0000596,Birth,01/01/2018,Female
19,2018B0000635,Birth,01/01/2018,Female
20,2018B0000637,Birth,01/01/2018,Male
21,2018B0000638,Birth,01/01/2018,Female
22,2018B0000641,Birth,01/01/2018,Male
23,2018B0000648,Birth,01/01/2018,Male
24,2018B0000645,Birth,01/01/2018,Female
25,2018B0000686,Birth,01/01/2018,Male
26,2018B0000687,Birth,01/01/2018,Male
27,2018B0000683,Birth,01/01/2018,Male
28,2018B0000684,Birth,01/01/2018,Female
29,2018B0000700,Birth,01/01/2018,Female
30,2018B0000703,Birth,01/01/2018,Male
31,2018B0000706,Birth,01/01/2018,Male
32,2018B0000707,Birth,01/01/2018,Male
33,2018B0000746,Birth,01/01/2018,Female
34,2018B0000748,Birth,01/01/2018,Female
35,2018B0000749,Birth,01/01/2018,Male
36,2018B0000750,Birth,01/01/2018,Female
37,2018B0000751,Birth,01/01/2018,Male
38,2018B0000813,Birth,01/01/2018,Male
39,2018B0000815,Birth,01/01/2018,Female
40,2018B0000817,Birth,01/01/2018,Female
41,2018B0000819,Birth,01/01/2018,Male
42,2018B0001781,Birth,01/01/2018,Male
43,2018B0001782,Birth,01/01/2018,Female
44,2018B0001801,Birth,01/01/2018,Male
45,2018B0001890,Birth,01/01/2018,Female
46,2018B0001896,Birth,01/01/2018,Female
47,2018B0001900,Birth,01/01/2018,Female
48,2018B0001902,Birth,01/01/2018,Female
49,2018B0000836,Birth,01/01/2018,Male
50,2018B0000869,Birth,01/01/2018,Male
51,2018B0000870,Birth,01/01/2018,Male
52,2018B0000871,Birth,01/01/2018,Female
53,2018B0000876,Birth,01/01/2018,Female
54,2018B0000882,Birth,01/01/2018,Male
